Team,Conference,latitude,longitude,zip
Titans,AFC,36.166461,-86.771289,37213
Giants,NFC,40.812194,-74.076983,10021
Steelers,AFC,40.446786,-80.015761,15202
Panthers,NFC,35.225808,-80.852861,28202
Ravens,AFC,39.277969,-76.622767,21203
Buccaneers,NFC,27.975967,-82.50335,33607
Colts,AFC,39.760056,-86.163806,46201
Vikings,NFC,44.973881,-93.258094,56760
Cardinals,NFC,33.5277,-112.262608,63102
Cowboys,NFC,32.747778,-97.092778,75203
Falcons,NFC,33.757614,-84.400972,30303
Jets,AFC,40.812194,-74.076983,10001
Broncos,AFC,39.743936,-105.020097,28037
Dolphins,AFC,25.957919,-80.238842,33102
Eagles,NFC,39.900775,-75.167453,19092
Bears,NFC,41.862306,-87.616672,60602
Patriots,AFC,42.090925,-71.26435,58647
Redskins,NFC,38.907697,-76.864517,20575
Packers,NFC,44.501306,-88.062167,54301
Chargers,AFC,32.783117,-117.119525,92103
Saints,NFC,29.950931,-90.081364,70112
Texans,AFC,29.684781,-95.410956,77002
Bills,AFC,42.773739,-78.786978,14202
Forty-Niners,NFC,37.713486,-122.386256,94102
Jaguars,AFC,30.323925,-81.637356,32099
Browns,AFC,41.506022,-81.699564,44114
Raiders,AFC,37.751411,-122.200889,94502
Chiefs,AFC,39.048914,-94.484039,66027
Rams,NFC,38.632975,-90.188547,63101
Seahawks,NFC,47.595153,-122.331625,98102
Bengals,AFC,39.095442,-84.516039,45202
Lions,NFC,42.340156,-83.045808,48205
